en,tr
Vijay Kumar: Robots that fly ... and cooperate,Vijay Kumar: İşbirliği yapan ve uçan robotlar
"Have we used up all our resources? Have we filled up all the livable space on Earth? Paul Gilding suggests we have, and the possibility of devastating consequences, in a talk that's equal parts terrifying and, oddly, hopeful.","Tüm kaynaklarımızı tükettik mi? Yeryüzündeki tüm yaşanabilir alanları doldurduk mu? Paul Gilding eşit ölçüde ürkütücü ve, gariptir ki, umut dolu bir konuşmada, öyle yaptığımızı öne sürüyor ve olası yıkıcı sonuçlarından bahsediyor."
Paul Gilding: The Earth is full,Paul Gilding: Yeryüzü dolmuştur.
"Onstage at TED2012, Peter Diamandis makes a case for optimism -- that we'll invent, innovate and create ways to solve the challenges that loom over us. ""I’m not saying we don’t have our set of problems; we surely do. But ultimately, we knock them down.”","TED2012 sahnesinde, Peter Diamantis iyimserliği savunuyor -- önümüzdeki zorlukları icatlarla, yeniliklerle ve yaratıcılıkla çözeceğimizi. ""Bir sürü problemimizin olmadığını söylemiyorum; kesinlikle var. Ama nihayetinde, onları deviririz."""
Peter Diamandis: Abundance is our future,Peter Diamandis: Bolluk geleceğimiz
"The ocean has degraded within our lifetimes, as shown in the decreasing average size of fish. And yet, as Daniel Pauly shows us onstage at Mission Blue, each time the baseline drops, we call it the new ""normal."" At what point do we stop readjusting downward?","Okyanus, bizim yaşam süremiz boyunca değişti, bunu balıkların ortalama büyüklüklerinin küçülmesinden görebiliyoruz. Yine de Daniel Pauly'nin Mission Blue'da bize gösterdiği gibi, okyanus tabanının her alçalışında, yeni seviyeye ""normal"" diyoruz. Aşağıya doğru normalleştirmeye ne zaman dur diyeceğiz?"
Daniel Pauly: The ocean's shifting baseline,Daniel Pauly: Okyanusun değişen taban seviyesi
"Kevin Allocca is YouTube's trends manager, and he has deep thoughts about silly web video. In this talk from TEDYouth, he shares the 4 reasons a video goes viral. (This is the first talk posted from an amazing TEDYouth event. Many others will come on line next month as part of our TED-Ed launch. We can't wait ...)",Kevin Allocca YouTube'un trend yöneticisi ve gülünç web videoları hakkında derin düşünceleri var. TEDYouth'taki konuşmasında bir videonun virüs gibi yayılmasının 4 nedeninden bahsediyor. (Bu harika TEDYouth organizasyonundan yollanan ilk konuşma. Önümüzdeki ay TED-Ed açılışının parçası olan başka videolar da yayınlanacak. Sabırsızlanıyoruz)
Kevin Allocca: Why videos go viral,Kevin Allocca: Neden videolar bir virüs gibi yayılıyor
"In 2010, technologist Tan Le took the TEDGlobal stage to demo a powerful new interface. But now, at TEDxWomen, she tells a very personal story: the story of her family -- mother, grandmother and sister -- fleeing Vietnam and building a new life. <em>(Filmed at <a href=http://www.ted.com/tedx/events/3394>TEDxWomen</a>.)</em>","2010 yılında, teknoloji uzmanı Tan Le güçlü ve yeni bir arayüzü tanıtmak için TEDGlobal sahnesinde yerini almıştı. Ama şimdi, TEDxWomen'da çok kişisel bir hikaye anlatıyor: ailesinin -- annesinin, büyükannesinin ve kız kardeşinin -- Vietnam'dan kaçıp yeni bir hayat kurma hikayesini anlatıyor."
Tan Le: My immigration story,Tan Le: Göç hikayem
"It's easy to imagine saving money next week, but how about right now? Generally, we want to spend it. Economist Shlomo Benartzi says this is one of the biggest obstacles to saving enough for retirement, and asks: How do we turn this behavioral challenge into a behavioral solution?","Önümüzdeki hafta para biriktirmeyi hayal etmek kolay, peki ya şimdi? Genellikle, harcıyor olmak isteriz. Ekonomist Shlomo Benartzi, bu durumu emeklilik için yeterli birikimin en büyük engellerinden biri olduğunu söylüyor ve bu davranışsal zorluğu nasıl davranışsal çözüme dönüştürebileceğimizi soruyor."
"Shlomo Benartzi: Saving for tomorrow, tomorrow","Shlomo Benartzi: Yarın, için yarın tasarruf yapmak"
"Has our technology -- our cell phones and iPods and cameras -- stopped us from dreaming? Young artist Shilo Shiv Suleman says no, as she demos ""Khoya,"" her new storybook for iPad, which floats us through a magical world in 7 minutes of pure creativity.","Teknolojimiz -- cep telefonlarımız, iPodlarımız ve fotğraf makinalarımız -- hayal kurmamızı engelliyor mu? Genç sanatçı Shilo Shiv Suleman iPad için tasarladığı ""Khoya"" adlı yeni hikaye kitabını tanıttığı, bizi sihirli bir dünyaya götüren 7 dakikalık yaratıcı konuşmasında buna hayır diyor."
Shilo Shiv Suleman: Using tech to enable dreaming,Shilo Shiv Suleman: Hayal gücünü harekete geçirmek için teknolojiyi kullanmak
"The disastrous earthquake in Haiti taught humanitarian groups an unexpected lesson: the power of mobile devices to coordinate, inform, and guide relief efforts. At TEDxRC2, Paul Conneally shows extraordinary examples of social media and other new technologies becoming central to humanitarian aid.  <em>(Filmed at <a href=http://www.ted.com/tedx/events/2400>TEDxRC2</a>.)</em>","Haiti'deki talihsiz deprem, yardımlaşma gruplarına beklenmeyen bir şey öğretti: mobil cihazların koordine etme, bilgilendirme ve yardım çalışmalarına rehberlik etme gücü. TEDxRC2'de, Paul Conneally, sosyal medya ve yeni teknolojilerin insani yardımın merkezine yerleşmesine dair sıradışı örnekler veriyor."
Paul Conneally: Digital humanitarianism,Paul Conneally: Dijital yardımlaşma
"They're the second largest fish in the world, they're almost extinct, and we know almost nothing about them. In this talk, Simon Berrow describes the fascinating basking shark (""Great Fish of the Sun"" in Irish), and the exceptional -- and wonderfully low-tech -- ways he's learning enough to save them. <em>(Filmed at <a href=http://www.ted.com/tedx/events/4105>TEDxDublin</a>.)</em>","Dünyanın ikinci büyük balığı ama nesli çoktan tükenmek üzere ve hakkında neredeyse hiçbir şey bilmiyoruz. Simon Berrow, İrlanda dilinde ""Güneşin Azametli Balığı"" anlamına gelen muhteşem ""büyük camgöz""leri TEDxDublin'de anlatıyor ve öğrendiği basit ama sıradışı teknolojilerle onları nasıl korumaya çalıştığını izah ediyor."
Simon Berrow: How do you save a shark you know nothing about?,Simon Berrow: Hakkında hiçbir şey bilmediğiniz bir köpekbalığını nasıl koruyabilirsiniz?
"You can use your smartphone to find a local ATM, but what if you need a defibrillator? Lucien Engelen shows us online innovations that are changing the way we save lives, including a crowdsourced map of local defibrillators. <em>(Filmed at <a href=http://www.ted.com/tedx/events/747>TEDxMaastricht</a>.)</em>","Akıllı telefonunuzu yerel bir ATM'yi bulmak için kullanabilirsiniz, ama ya bir defibrilatöre ihtiyacınız olursa? TEDxMaastricht'te Lucien Engelen bize, hayat kurtarma yöntemimizi değiştirecek online yenilikler gösteriyor, yerel defibrilatörlerin kitle kaynaklı bir haritası dahil."
Lucien Engelen: Crowdsource your health,Lucien Engelen: Sağlınızı kitle kaynaklı yapın
"In this funny, casual talk from TEDx, writer Jenna McCarthy shares surprising research on how marriages (especially happy marriages) really work. One tip: Do not try to win an Oscar for best actress. <em>(Filmed at <a href=http://www.ted.com/tedx/events/1886>TEDxAmericanRiviera</a>.)</em>","TEDx'den alınmış bu eğlenceli konuşmada, yazar Jenna McCarthy iyi giden evlilikler (özellikle de mutlu evlilikler) hakkında şaşırtıcı araştırmalarını paylaşıyor. Bir ipucu: En iyi kadın oyuncu dalında Oscar kazanmayı denemeyin."
Jenna McCarthy: What you don't know about marriage,Jenna McCarthy: Evlilik hakkında bilmedikleriniz
"We have all changed someone’s life -- usually without even realizing it. In this funny talk, Drew Dudley calls on all of us to celebrate leadership as the everyday act of improving each other’s lives. <em>(Filmed at <a href=http://www.ted.com/tedx/events/2937>TEDxToronto</a>.)</em>","Hepimiz birilerinin hayatını değiştirmişizdir -- hem de genellikle bunu fark etmeden. Bu eğlendirici konuşmada, Drew Dudley hepimizi, liderliği başkalarının hayatlarını her gün değiştirebilen bir eylem olarak görmeye çağırıyor. (TEDxToronto'da çekilmiştir.)"
Drew Dudley: Everyday leadership,Drew Dudley: Olağan liderlik
"Erik Johansson creates realistic photos of impossible scenes -- capturing ideas, not moments. In this witty how-to, the Photoshop wizard describes the principles he uses to make these fantastical scenarios come to life, while keeping them visually plausible.","Erik Johansson imkansız sahnelerden gerçekçi fotoğraflar yaratıyor -- anları değil fikirleri yakalıyor. Bu esprili nasıl yapılır konuşmasında, Photoshop ustası bu fantastik senaryoları görsel olarak akla yatkın bir şekilde hayata geçirmek için hangi ilkeleri kullandığını açıklıyor."
Erik Johansson: Impossible photography,Erik Johansson: İmkansız fotoğrafçılık
Where are the baby dinosaurs? In a spellbinding talk paleontologist Jack Horner describes how slicing open fossil skulls revealed a shocking secret about some of our most beloved dinosaurs. <em>(Filmed at <a href=http://www.ted.com/tedx/events/3106>TEDxVancouver</a>.)</em>,Bebek dinozorlar nerede? TEDxVancouver'da paleontolojist Jack Horner muhteşem konuşmasında hepimizin bildiği ve hayranlık duyduğu dinozorlara ait fosil iskeletlerini nasıl kestiğini ve içlerinden nasıl şaşırtıcı sırlar çıkardığını anlatıyor.
Jack Horner: Shape-shifting dinosaurs,Jack Horner: Şekil Değiştiren Dinozorlar
"Sheikha Al Mayassa, a patron of artists, storytellers and filmmakers in Qatar, talks about how art and culture create a country's identity -- and allow every country to share its unique identity with the wider world. As she says: ""We don't want to be all the same, but we do want to understand each other.""","Katar'da artistlerin, hikayecilerin ve film yapımcılarının yöneticisi olan Sheikha Al Mayassa, sanat ve kültürün nasıl bir ülkenin kimliğini yarattığını-- ve daha geniş bir dünya içinde diğer ülkelerin kendilerine özgü kimliklerinin paylaşılmasına nasıl zemin hazırladığını anlatıyor. Onun sözleriyle, "" tamamiyle birbirimize benzemek istemiyoruz ama birbirimizi anlamak istiyoruz."""
"Sheikha Al Mayassa: Globalizing the local, localizing the global","Sheikha Al Mayassa: Yereli küreselleştirme, küreseli yerelleştirme"
"Underwater filmmaker Mike deGruy has spent decades looking intimately at the ocean. A consummate storyteller, he takes the stage at Mission Blue to share his awe and excitement -- and his fears -- about the blue heart of our planet.","Sualtı film yapımcısı Mike deGruy okyanusu on yıllardır yakından inceliyor. Çok iyi bir hatip olan deGruy, gezegenimizin mavi kalbine dair hayranlığını, heyecanını -- ve korkularını -- paylaşmak için Mavi Görev'de sahneye çıkıyor."
Mike deGruy: Hooked by an octopus,Mike deGruy: Ahtapotun kancasında
"From deep in the archive, Danny Hillis outlines an intriguing theory of how and why technological change seems to be accelerating, by linking it to the very evolution of life itself.  The presentation techniques he uses may look dated, but the ideas are as relevant as ever.","TED'in derin arşivinden,  Danny Hillis; teknolojik değişimin neden ve nasıl gittikçe hızlanıyor göründüğünü tam da yaşamın kendi  evrimiyle ilişkilendirdiği şaşırtıcı bir teoriyle özetliyor. Kullandığı sunum teknikleri eskimiş görünebilir fakat fikirleri her zamanki geçerliliğini koruyor."
Danny Hillis: Back to the future (of 1994),Danny Hillis: Geleceğe Dönüş (1994)
"What if you're in surgery and the power goes out? No lights, no oxygen -- and your anesthesia stops flowing. It happens constantly in hospitals throughout the world, turning routine procedures into tragedies. Erica Frenkel demos one solution: the universal anesthesia machine. <em>(Filmed at <a href=http://www.ted.com/tedx/events/1997>TEDxMidAtlantic</a>.)</em>","Bir ameliyatta iken elektrikler giderse ne yaparsınız? Işık yok, oksijen yok - ve anestezi gazınız duruyor. Dünya çapında sürekli gerçekleşiyor bu, rutin işlemleri trajediye çeviriyor. Erica Frenkel bir çözüm sunuyor: evrensel anestezi makinesi."
Erica Frenkel: The universal anesthesia machine,Eirca Frenkel: Evrensel anestezi makinesi
"We believe that we should work to be happy, but could that be backwards? In this fast-moving and entertaining talk, psychologist Shawn Achor argues that actually happiness inspires productivity. <em>(Filmed at <a href=http://www.ted.com/tedx/events/663>TEDxBloomington</a>.)</em>","Mutlu olmak için çalışmamız gerektiğine inanırız, peki bunun tersi mümkün mü? TEDxBloomington'da yapılan bu sürükleyici ve eğlenceli konuşmada psikolog Shawn Achor mutluluğun üretkenliği arttırdığını ileri sürüyor."
Shawn Achor: The happy secret to better work,Shawn Achor: Daha iyi çalışmanın mutlu sırrı
"Peter van Uhm is the Netherlands’ chief of defense, but that does not mean he is pro-war. In this talk, he explains how his career is one shaped by a love of peace, not a desire for bloodshed -- and why we need armies if we want peace. <em>(Filmed at <a href=http://www.ted.com/tedx/events/3398>TEDxAmsterdam</a>.)</em>","Peter van Uhm Hollanda Genelkurmay Başkanı olsa da, bu savaş yanlısı olduğu anlamına gelmiyor. TEDxAmsterdam'da kariyerinin nasıl kan dökme arzusuyla değil de, barış sevgisiyle dolu olduğunu, ve de barış için niye ordulara ihtiyacımız olduğunu anlatıyor."
Peter van Uhm: Why I chose a gun,Peter van Uhm: Neden silahı seçtim
"Every doctor makes mistakes. But, says physician Brian Goldman, medicine's culture of denial (and shame) keeps doctors from ever talking about those mistakes, or using them to learn and improve. Telling stories from his own long practice, he calls on doctors to start talking about being wrong.  <em>(Filmed at <a href=http://www.ted.com/tedx/events/2937>TEDxToronto</a>.)</em>","Her doktor hatalar yapar. Fakat, doktor Brian Goldman' ın da söylediği gibi tıbbın red  (ve utanç) kültürü doktorları her zaman bu hatalar üzerine konuşmaktan ya da onlar yoluyla öğrenme ve kendini geliştirme işinden alıkoyar. Kendi uzun pratiğinden hikayeler anlatarak o, doktorları yanlışları üzerinde konuşmaya davet ediyor."
Brian Goldman: Doctors make mistakes. Can we talk about that?,Brian Goldman: Doktorlar hata yaparlar. Peki bizim bu konuyu konuşabilmemiz mümkün mü?
"2012 may be the year of 3D printing, when this three-decade-old technology finally becomes accessible and even commonplace. Lisa Harouni gives a useful introduction to this fascinating way of making things -- including intricate objects once impossible to create.","2012, 3D baskının yılı olabilir, çünkü bu otuz yıllık teknoloji sonunda ulaşılabilir ve hatta sıradan bir hale geldi. Lisa Harouni, bir zamanlar üretmesi imkansız olan karışık objeler dahil bir şeyler yapmanın bu olağanüstü yöntemiyle ilgili faydalı bir tanıtım veriyor."
Lisa Harouni: A primer on 3D printing,Lisa Harouni: 3 Boyutlu baskı üzerine bir el kitabı
"We all want customized experiences and products -- but when faced with 700 options, consumers freeze up. With fascinating new research, Sheena Iyengar demonstrates how businesses (and others) can improve the experience of choosing.",Hepimiz bize özel deneyimler istiyoruz-- ama bir tüketici olarak 700 tercihle karşılaşınca donup kalıyoruz. Sheena Iyengar etkileyici yeni çalışması ile şirketlerin (ve diğer herkesin) seçimlerini nasıl iyileştirebileceğini gösteriyor.
Sheena Iyengar: How to make choosing easier,Sheena Iyengar: Seçim yapmayı nasıl kolaylaştırırız
"What does a bill like PIPA/SOPA mean to our shareable world? At the offices, Clay Shirky delivers a proper manifesto -- a call to defend our freedom to create, discuss, link and share, rather than passively consume.","PIPA/SOPA gibi bir yasa tasarısı paylaşım dünyamız için ne anlama geliyor? ofislerinde Clay Shirky yerinde bir manifesto dağıtıyor -- pasif bir tüketim yerine yaratma, tartışma, bağlantı kurma ve paylaşma özgürlüğümüzü koruma çağrısı."
Clay Shirky: Why SOPA is a bad idea,Clay Shirky: SOPA neden kötü bir fikir
"Cybercrime expert Mikko Hypponen talks us through three types of online attack on our privacy and data -- and only two are considered crimes. ""Do we blindly trust any future government? Because any right we give away, we give away for good."" <em>(Filmed at <a href=http://www.ted.com/tedx/events/2364>TEDxBrussels</a>.)</em>","Sanal suç uzmanı Mikko Hypponen mahremiyetinize ve bilgilerinize yapılan üç çeşit çevrimiçi saldırıdan bahsediyor -- ve bunların sadece ikisi suç sayılıyor. ""Gelecekteki bir hükümete gözü kapalı güveniyor muyuz? Çünkü feragat ettiğimiz her hak bizden sonsuza dek alınabilir."""
Mikko Hypponen: Three types of online attack,Mikko Hypponen: Çevrimiçi saldırının üç çeşidi
"What aspects of religion should atheists (respectfully) adopt? Alain de Botton suggests a ""religion for atheists"" -- call it Atheism 2.0 -- that incorporates religious forms and traditions to satisfy our human need for connection, ritual and transcendence.","Ateistler, dinin hangi yönlerini (saygıyla) benimsemeliler? Alain de Botton dindar oluşumları ve gelenekleri, bağlılığa, ritüele ve kendinden geçmeye duyduğumuz insanı ihtiyacı karşılayacak şekilde özümseyen, ""ateistler için bir din"" öneriyor: Atheism 2.0."
Alain de Botton: Atheism 2.0,Alain de Botton: Ateizm 2.0
"After a crisis, how can we tell if water is safe to drink? Current tests are slow and complex, and the delay can be deadly, as in the cholera outbreak after Haiti's earthquake in 2010. Fellow Sonaar Luthra previews his design for a simple tool that quickly tests water for safety -- the Water Canary.","Bir krizden sonra, suyun güvenli bir şekilde içilip içilemeyeceğini nasıl söyleriz? Mevcut testler yavaş ve karmaşık ve bu gecikme tıpkı 2010'daki Haiti depreminden sonraki kolera salgınında olduğu gibi ölümcül olabilir. Fellow Sonaar Luthra suyun güvenliğinin çabucak test edilmesi için icat ettiği basit bir aleti tanıtıyor -- Su Kanaryası"
Sonaar Luthra: Meet the Water Canary,Sonaar Luthra: Su Kanaryası ile tanışın
"Inspired by Aung San Suu Kyi’s call to action, “If you’re feeling helpless, help someone,” Morley composed this song. She sings it at TEDxWomen in her gorgeous, warm voice.  <em>(Filmed at <a href=http://www.ted.com/tedx/events/3394>TEDxWomen</a>.)</em>","Aung San Suu Kyi'nin ""Çaresiz hissetiğinizde, birine yardım edin"" çağrısından ilham alan Morley, bu şarkıyı besteledi. Büyüleyici ve yumuşak sesiyle TEDxWomen etkinliğinde bu şarkıyı bize söylüyor."
"Morley: ""Women of Hope""","Morley ""Umudun Kadınları"" adlı şarkıyı söylüyor."
"We have no ways to directly observe molecules and what they do -- Drew Berry wants to change that.  In this talk, he shows his scientifically accurate (and entertaining!) animations that help researchers see unseeable processes within our own cells.  <em>(Filmed at <a href=http://www.ted.com/tedx/events/990>TEDxSydney</a>.)</em>","Molekülleri ve ne yaptıklarını doğrudan gözlemlemek için hiç bir yöntemimiz yok -- Drew Berry bunu değiştirmek istiyor. TEDxSydney' de bilimsel olarak tutarlı (ve eğlenceli), araştırmacılara kendi hücrelerimizdeki görünmeyen süreçleri görmelerine yardım eden animasyonlarını gösteriyor."
Drew Berry: Animations of unseeable biology,Drew Berry: Gözle görülemeyen biyolojinin animasyonları
"In politics, it seems counterintuitive to engage in dialogue with violent groups, with radicals and terrorists, and with the states that support them. But Jonas Gahr Støre, the foreign minister of Norway, makes a compelling case for open discussion, even when values diverge, in an attempt to build greater security for all.  <em>(Filmed at <a href=http://www.ted.com/tedx/events/2400>TEDxRC2</a>.)</em>","Politikada, şiddetli gruplar, radikaller, teröristler ve onlara destek veren devletlerle diyaloğa girmek sezgilere aykırı gibi geliyor. Fakat Norveç'in Dışişleri Bakanı Jonas Gahr Støre değerler uyuşmadığında bile, herkes için daha iyi bir güvenlik yaratma girişimi ile açık tartışma için ilgi uyandıran bir savunma yapıyor."
Jonas Gahr Støre: In defense of dialogue,Jonas Gahr Støre: Diyalog savunması
"In 2011 three young women swept the top prizes of the first Google Science Fair. Lauren Hodge, Shree Bose and Naomi Shah describe their extraordinary projects -- and their route to a passion for science.  <em>(Filmed at <a href=http://www.ted.com/tedx/events/3394>TEDxWomen</a>.)</em>","2011'de üç genç bayan, bu yıl ilki düzenlenen Google Bilim Fuarı'nın en büyük ödüllerini topladı. TEDxWomen'de Lauren Hodge, Shree Bose ve Naomi Shah olağanüstü projelerini ve bilim tutkusuna dönüşen süreçlerini anlattı."
"Lauren Hodge, Shree Bose + Naomi Shah: Award-winning teenage science in action",Ödüllü gençler bilim için çalışıyor
"Sebastian Wernicke thinks every TEDTalk can be summarized in six words. In this talk, he shows how to do just that -- and less.  <em>(Filmed at <a href=http://www.ted.com/tedx/events/2286>TEDxZurich</a>.)</em>",Sebastian Wernicke her TEDTalk'un altı kelimede özetlenebileceğini düşünüyor. TEDxZürih'te bunun nasıl yapılacağını gösteriyor -- hem de daha az kelime ile.
"Sebastian Wernicke: 1000 TEDTalks, 6 words","Sebastian Wernicke: 1000 TEDTalks, 6 kelime"
Paddy Ashdown claims that we are living in a moment in history where power is changing in ways it never has before. In a spellbinding talk he outlines the three major global shifts that he sees coming. <em>(Filmed at <a href=http://www.ted.com/tedx/events/3394>TEDxBrussels</a>.)</em>,"Paddy Ashdown, gücün, tarihte bugüne kadar hiç yaşanmamış farkli biçimlerde değiştiğini öne sürüyor. TEDxBruksel'de yaptığı nefes kesici konuşmasında, öngördüğü üç farklı güç değişiminin ana hatlarını çiziyor"
Paddy Ashdown: The global power shift,Küresel güç değişimi
"Within this generation, an extra 30 years have been added to our life expectancy -- and these years aren’t just a footnote or a pathology. In this talk, Jane Fonda asks how we can think about this new phase of our lives.  <em>(Filmed at <a href=http://www.ted.com/tedx/events/3394>TEDxWomen</a>.)</em>","Bu nesilde, hayat beklentimize fazladan 30 yıl eklendi -- ve bu yıllar sadece dipnot ya da pataloji değil. TEDxWomen'da, Jane Fonda hayatımızın yeni safhası hakkında nasıl düşüneceğimizi soruyor."
Jane Fonda: Life's third act,Jane Fonda: Hayatın üçüncü perdesi
"For a full year, A.J. Jacobs followed every piece of health advice he could -- from applying sunscreen by the shot glass to wearing a bicycle helmet while shopping. Onstage at TEDMED, he shares the surprising things he learned.","Tam bir yıl boyunca, A.J. Jacobs yapabildiği her sağlık tavsiyesini uyguladı -- kadeh dolusu güneş kremi uygulamaktan alışveriş yaparken bisiklet kaskı takmaya kadar. TEDMED'de sahnede, öğrendiği şaşırtıcı şeyleri paylaşıyor."
A.J. Jacobs: How healthy living nearly killed me,A.J. Jacobs: Sağlıklı yaşam beni nasıl neredeyse öldürüyordu
"Alberto Cairo's clinics in Afghanistan used to close down during active fighting. Now, they stay open. In this powerful talk, Cairo tells the moving story of why -- and how he found humanity and dignity in the midst of war. <em>(Filmed at <a href=http://www.ted.com/tedx/events/2400>TEDxRC2</a>.)</em>","Albert Cairo'nun Afganistandaki kliniği aktif çatışma sırasında kapatılıyordu. Şimdi, açıklar. TEDxRC2'de (RC: Kızılhaç/Kızılay), Cairo savaşın ortasında neden ve nasıl insanlığı ve haysiyeti bulduğunun muhteşem hikayesini anlatıyor."
Alberto Cairo: There are no scraps of men,Alberto Cairo: Çürük insan yoktur
"Political prisoners aren't the only ones being tortured -- the vast majority of judicial torture happens in ordinary cases, even in 'functioning' legal systems. Social activist Karen Tse shows how we can, and should, stand up and end the use of routine torture.","Sadece siyasi yükümlüler işkenceye maruz kalmıyor -- çoğunlukla işkence sıradan davalarda görülüyor, 'düzgün işleyen' hukuk sisteminde bile. Sosyal aktivist Karen Tse bize şiddete nasıl dur dememizi ve nasıl bitirebileceğimizi konusunu ele alıyor."
Karen Tse: How to stop torture,Karen Tse: İşkenceye nasil dur denir
"Every day, we make decisions that have good or bad consequences for our future selves. (Can I skip flossing just this one time?) Daniel Goldstein makes tools that help us imagine ourselves over time, so that we make smart choices for Future Us.","Her gün, gelecekteki benliğimiz için iyi veya kötü sonuçları olacak kararlar veririz. (Yalnızca bu seferlik gösteriş yapmasam?) Daniel Goldstein gelecekteki halimiz hakkında mantıklı kararlar verebilmemiz için o halimizi hayal etmemize yardımcı olan araçlar yaratıyor."
Daniel Goldstein: The battle between your present and future self,Daniel Goldstein: Bugünkü ve gelecekteki benliğimizin mücadelesi.
"At TEDMED, Sheila Nirenberg shows a bold way to create sight in people with certain kinds of blindness: by hooking into the optic nerve and sending signals from a camera direct to the brain.","Sheila Nirenberg, optik sinirlere bağlanan bir kamera ile sinyalleri doğrudan beyine göndererek bazı körlük tiplerinde görüşü sağlayacak cüretkâr bir yöntemi anlatıyor."
Sheila Nirenberg: A prosthetic eye to treat blindness,Sheila Nirenberg: Körlüğü tedavi edecek protez bir göz
Every morning we wake up and regain consciousness -- that is a marvelous fact -- but what exactly is it that we regain? Neuroscientist Antonio Damasio uses this simple question to give us a glimpse into how our brains create our sense of self.,Her sabah uyanırız ve bilincimizi yeniden kazanırız-- ki bu inanılmaz bir gerçektir-fakat gerçekte kazandığımız nedir? Nörobilimci Antonio Damasio sorduğu bu basit soruyla bize beynimizin kendiliğimizi nasıl yarattığı konusunda bir ipucu veriyor.
Antonio Damasio: The quest to understand consciousness,Antonio Damasio : Bilinci anlamaya çalışmak adına yapılan bir sorgulama
"When Ramona Pierson was 22, she was hit by a drunk driver and spent 18 months in a coma. In this talk, she tells the remarkable story of her recovery -- drawing on the collective skills and wisdom of a senior citizens' home.  <em>(Filmed at <a href=http://www.ted.com/tedx/events/1823>TEDxDU</a>.)</em>","Ramona Pierson 22 yaşındayken, sarhoş bir şoförün kendisine çarpması yüzünden 18 ay sürecek bir komaya girdi. Dikkat çekici iyileşme hikayesini, bir huzur evinin desteği ve bilgeliğinin üzerinde durarak TEDxDU'da anlatıyor."
Ramona Pierson: An unexpected place of healing,Ramona Pierson: Alışılmadık bir tedavi yeri.
"Homaro Cantu and Ben Roche come from Moto, a Chicago restaurant that plays with new ways to cook and eat food. But beyond the fun and flavor-tripping, there's a serious intent: Can we use new food technology for good?","Homara Cantu ve Ben Roche, Şikago'da yemek yapmak ve yemek için yeni yöntemlerle oynanan bir restoran olan Moto'dan geliyorlar. Ama eğlence ve lezzet sarhoşluğunun ötesinde, ciddi bir niyet var: Yeni yiyecek teknolojisini iyilik için kullanabilir miyiz?"
Homaro Cantu + Ben Roche: Cooking as alchemy,Homaro Cantu + Ben Roche: Mutfakta simya
"Every day, we use materials from the earth without thinking, for free. But what if we had to pay for their true value: would it make us more careful about what we use and what we waste? Think of Pavan Sukhdev as nature's banker -- assessing the value of the Earth's assets. Eye-opening charts will make you think differently about the cost of air, water, trees ...","Her gün, yeryüzünden cisimleri hiç düşünmeksizin bedavaya kullanıyoruz. Ama ya onların gerçek değeri için ödeme yapmamız gerekseydi: bu durum bizi neleri kullanıp neleri harcadığımız hakkında daha dikkatli kılar mıydı? Pavan Sukhdev'i dünyanın servetinin değerini araştıran, doğanın bir çeşit bankeri gibi düşünün. Şaşırtıcı grafikleriyle havanın, suyun, ağaçların değeri hakkında farklı bir bakış açısı ile düşünmenizi sağlayacak."
Pavan Sukhdev: Put a value on nature!,Pavan Sukhdev: Doğaya değer biçin!
"Photographer Monika Bulaj shares powerful, intimate images of Afghanistan -- of home life, of ritual, of men and women. Behind the headlines, what does the world truly know about this place?","Fotoğrafçı Monika Bulaj Afganistan'ın etkili ve samimi görüntülerini paylaşıyor -- ev hayatını, adetleri, erkekleri ve kadınları. Manşetlerin dışında, dünya, bu yer hakkında gerçekten ne biliyor?"
Monika Bulaj: The hidden light of Afghanistan,Monika Bulaj: Afganistan'ın saklı ışığı
"What is a mistake? By talking through examples with his improvisational Jazz quartet, Stefon Harris walks us to a profound truth: many actions are perceived as mistakes only because we don't react to them appropriately.","Hata nedir? Doğaçlama Caz dörtlüsü ile örnekler üzerinden konuşarak, Stefon Harris bizi derin bir gerçeğe taşıyor: birçok eylem sadece onlara uygun olarak tepki vermediğimiz için hata olarak algılanıyor."
Stefon Harris: There are no mistakes on the bandstand,Stefon Harris: Sahnede hata olmaz
"Cheryl Hayashi studies spider silk, one of nature's most high-performance materials. Each species of spider can make up to 7 very different kinds of silk. How do they do it? Hayashi explains at the DNA level -- then shows us how this super-strong, super-flexible material can inspire.","Cheryl Hayashi doğanın en yüksek performanslı materyallerinden birisi olan örümcek lifi üzerine araştırma yapıyor. Her örümcek çeşidi 7 ayrı çeşide kadar lif üretebiliyor. Peki bunları nasıl yapıyorlar ? Hayashi bunu DNA düzeyinde açıklıyor ve bu süper güçlü, süper esnek maddenin bize nasıl ilham vereceğinden bahsediyor."
Cheryl Hayashi: The magnificence of spider silk,Cheryl Hayashi: Örümcek Lifinin Mükemmelliği
